File	Prompt	NumPromptsToSuccess	notes
2_pubmed.py	create python code to create an abstract base class called AbstractPublication to represent publications, with a method called from_pubmed(). Then create a class called Article that inherits AbstractPublication. The from_pubmed() method should take in a pubmed record downloaded using the biopython.Entrez tools, and should convert the author list to a variable called authors and the title to a variable called title. In the main function, perform a pubmed search for the query "cognitive control" and convert each record into an instance of the Publication class, saving them to a dictionary that uses the pubmed ID as the key.	1	
3_LDA.py	Create python code to download 1000 abstracts from pubmed matching the query "cognitive control", clean up the text by removing standard English stopwords and lexicalizing the words, and apply topic modeling using latent Dirichlet allocation to find 10 topics. Print the highest scoring words for each topic.	1	
5_lmm.py	create a python application takes in a set of csv files, each of which includes two columns: one called "rt" that contains a response time in miiliseconds, and another "correct" that is binary (1/0) denoting whether the response was correct or not. there should also be another variable, called "compatible", that contains binary values (0/1) with half of the rows set to zero and half to 1. combine these files into a single data frame, using the individual file names as an index variable. then perform a linear mixed model that computes the effect of the compatible factor, with a random intercept and slope for the different file names. also create a test that automatically generates a set of data files with random values, and then tests the function to assess whether it properly returns the true values.	1	
7_download_github_code.py	Create python code that uses the github api to download the 100 most recently committed python files.	1	a version of this was used for all of the github analyses
10_mk_classification_data.py	please create code to generate some test data for this code (#9)	1	
15_DAG.py	 generate a python class to represent a directed graph. generate a function that takes in a directed graph and a two sets of vertices and and returns whether those two sets are d-separated. add a test that compares the results from this code to the d-separation results computed using the NetworkX library	1	
20_imgsmooth.py	create a python class to perform spatial smoothing on a nifti image using a median filter.# please create a test image for use in the example# please add code to present a plot of one slice from the input file next to one slice from the output file	1	
25_overfitting.py	create python code to simulate the effect of overfitting in regression. 1) generate synthetic data with 32 observations for two variables from a bivariate normal distribution with a correlation of 0.5.  2) fit three models to the data: a linear regression model, a 2nd-order polynomial regression model, and a 9-th order polynomial model.  3) Compute the error for each of these models on the synthetic training data, and on a synthetic test dataset generated from the same distribution.  4) plot the fitted lines for each of the fitted models overlaid on the training data.	1	
28_ascii_art.py	generate python code to read in an image and render the image using ascii art.  	1	
30_PCA_poweriteration.py	generate a class in the scikit-learn style to perform principal component analysis using the power iteration method.  the algorithm should be coded from scratch rather than using an external library.# create an additional function to compare the results of this method to those of the standard PCA function in scikit-learn	1	
31_ttest_wrapper.py	create a python wrapper for the statsmodels ttest_ind function, which takes the same arguments and returns a report similar to the one returned by the t.test function in R	1	
