file,statements,missed,coverage,test_success,ntests,npassed,nfailed,nerrors,messages,assert_errors,raise_errors,other_errors,type_errors,value_errors,index_errors,zerodiv_errors
data/conceptual_prompting/testdirs/conceptual_prompting00/answer.py,21,0,100,True,4,4.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting01/answer.py,9,5,44,True,1,1.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting02/answer.py,26,0,100,True,6,6.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting03/answer.py,19,3,84,True,6,6.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting04/answer.py,24,12,50,False,3,2.0,0.0,1.0,"E           ValueError: Number of informative, redundant and repeated features must sum to less than the number of total features",0,0,0,0,1,0,0
data/conceptual_prompting/testdirs/conceptual_prompting05/answer.py,7,0,100,True,1,1.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting06/answer.py,8,3,62,False,1,0.0,1.0,0.0,">       assert pytest.approx(result, rel=1e-3) == 59564.97E       assert 60202.716344497014 ± 6.0e+01 == 59564.97",1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting07/answer.py,7,0,100,False,4,2.0,2.0,0.0,>       with pytest.raises(ValueError):E       Failed: DID NOT RAISE <class 'ValueError'>;>       with pytest.raises(ValueError):E       Failed: DID NOT RAISE <class 'ValueError'>,0,2,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting08/answer.py,16,0,100,True,7,7.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting09/answer.py,9,0,100,False,1,0.0,1.0,0.0,">       assert pytest.approx(calculate_velocity(radius, time_period), 3.1416)E       AssertionError: approx() is not supported in a boolean context.",1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting10/answer.py,10,0,100,False,4,2.0,2.0,0.0,>       assert result == expectedE       assert False == True;>       assert result == expectedE       assert False == True,2,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting11/answer.py,12,0,100,True,7,7.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting12/answer.py,11,5,55,False,1,0.0,1.0,0.0,>       assert pytest.approx(result) == expected_forceE       assert 1.98049223909...e+20 ± 2.0e+14 == 1.982e+20,1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting13/answer.py,13,0,100,False,4,0.0,4.0,0.0,">       assert round(max_height, 2) == 10.20E       assert 10.19 == 10.2;>       assert round(time_of_flight, 2) == 2.04E       assert -2.88 == 2.04;>       assert round(horizontal_range, 2) == 40.41E       assert -40.77 == 40.41;>       with pytest.raises(ValueError):E       Failed: DID NOT RAISE <class 'ValueError'>",3,1,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting14/answer.py,23,10,57,False,2,0.0,2.0,0.0,">               table[i][j] = sum((a == a_categ) & (b == b_categ))E               TypeError: 'bool' object is not iterable;>       assert pytest.approx(chi2, 0.2)E       AssertionError: approx() is not supported in a boolean context.",1,0,0,1,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting15/answer.py,23,0,100,True,2,2.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting16/answer.py,11,5,55,True,1,1.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting17/answer.py,22,1,95,True,5,5.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting18/answer.py,13,1,92,False,2,1.0,1.0,0.0,">       assert np.isclose(overlap, 0.4)E       assert False",1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting19/answer.py,5,0,100,True,3,3.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting20/answer.py,28,5,82,False,4,3.0,1.0,0.0,">       assert predecessor == {'a': None, 'b': 'a', 'c': 'b', 'd': 'c'}E       AssertionError: assert {'a': None, '...'b', 'd': 'b'} == {'a': None, '...'b', 'd': 'c'}",1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting21/answer.py,11,4,64,False,1,0.0,1.0,0.0,>           assert pytest.approx(result) == expected_diversity_indexE           assert 0.7090000000000001 ± 7.1e-07 == 0.7386978417266187,1,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting22/answer.py,10,4,60,True,3,3.0,0.0,0.0,,0,0,0,0,0,0,0
data/conceptual_prompting/testdirs/conceptual_prompting23/answer.py,11,2,82,False,2,1.0,1.0,0.0,">       assert math.isclose(energy_level(1, 2), 1.635e-19, rel_tol=1e-9), ""Energy difference for n1=1, n2=2 is incorrect""E       AssertionError: Energy difference for n1=1, n2=2 is incorrect",1,0,0,0,0,0,0
